date,description,counterparty_ban,reference,amount,balance
2024-08-05,固定營運支出(人事/房租/水電),,,-382500,467500
2024-09-05,固定營運支出(人事/房租/水電),,,-382500,85000
2024-10-05,固定營運支出(人事/房租/水電),,,-382500,-297500
2024-10-09,匯出-永包材有限公司,22378990,AP22093068,-225237,-522737
2024-10-12,匯出-祥包材有限公司,94364691,AP66432732,-62025,-584762
2024-10-22,匯入-銘麒工業社有限公司,82837832,AB94960708,466186,-118576
2024-10-22,匯出-永包材有限公司,22378990,AP61670677,-142923,-261499
2024-11-04,匯入-鴻昇機械有限公司,77929081,AB27387161,1075447,813948
2024-11-04,匯出-銘原料有限公司,38367914,AP74569215,-142603,671345
2024-11-05,固定營運支出(人事/房租/水電),,,-382500,288845
2024-11-08,匯入-鴻昇機械有限公司,77929081,AB96974374,347993,636838
2024-11-09,匯出-晶模具有限公司,31527583,AP28864842,-121160,515678
2024-11-12,匯入-泰昇貿易企業社,14940320,AB46638154,400467,916145
2024-11-16,匯入-祥昇機電股份有限公司,85793832,AB55909722,537934,1454079
2024-11-16,匯入-順澤貿易有限公司,71003302,AB31465652,621339,2075418
2024-11-27,匯出-銘原料有限公司,38367914,AP13236965,-207218,1868200
2024-11-29,匯出-隆模具有限公司,89262240,AP41508160,-232648,1635552
2024-12-05,固定營運支出(人事/房租/水電),,,-382500,1253052
2024-12-11,匯入-晶陽機電股份有限公司,38792170,AB39871665,165319,1418371
2024-12-15,匯出-隆模具有限公司,89262240,AP27641480,-84626,1333745
2024-12-21,匯出-祥包材有限公司,94364691,AP85727830,-177280,1156465
2024-12-23,匯出-永包材有限公司,22378990,AP46749768,-136715,1019750
2024-12-27,匯出-鴻五金有限公司,11467302,AP24147295,-114445,905305
2024-12-27,匯出-祥包材有限公司,94364691,AP29310970,-33313,871992
2025-01-02,匯入-晶宇機械股份有限公司,55145064,AB86490689,355847,1227839
2025-01-02,匯入-鴻昇機械有限公司,77929081,AB57732814,83414,1311253
2025-01-05,固定營運支出(人事/房租/水電),,,-382500,928753
2025-01-14,匯入-晶陽機電股份有限公司,38792170,AB52802636,513476,1442229
2025-01-14,匯入-祥昇機電股份有限公司,85793832,AB69638840,981440,2423669
2025-01-16,匯入-鴻昇機械有限公司,77929081,AB16986798,276726,2700395
2025-01-19,匯入-祥昇機電股份有限公司,85793832,AB66309604,263289,2963684
2025-01-22,匯入-隆昇企業股份有限公司,64611132,AB92477231,599975,3563659
2025-01-22,匯入-銘麒工業社有限公司,82837832,AB32700098,464429,4028088
2025-01-30,匯出-祥包材有限公司,94364691,AP86406737,-175133,3852955
2025-01-31,匯入-泰昇貿易企業社,14940320,AB13058277,825523,4678478
2025-02-01,匯出-銘原料有限公司,38367914,AP46228146,-52766,4625712
2025-02-03,匯出-隆模具有限公司,89262240,AP10183250,-303635,4322077
2025-02-05,固定營運支出(人事/房租/水電),,,-382500,3939577
2025-02-07,匯入-晶宇機械股份有限公司,55145064,AB42519866,287340,4226917
2025-02-09,匯入-鴻昇機械有限公司,77929081,AB92108780,799132,5026049
2025-02-09,匯出-永包材有限公司,22378990,AP79273168,-117087,4908962
2025-02-10,匯出-永包材有限公司,22378990,AP64420106,-130827,4778135
2025-02-17,匯入-祥昇機電股份有限公司,85793832,AB68207220,426490,5204625
2025-02-17,匯入-晶陽機電股份有限公司,38792170,AB62062914,439670,5644295
2025-02-20,匯出-晶模具有限公司,31527583,AP67035175,-122878,5521417
2025-02-22,匯入-晶宇機械股份有限公司,55145064,AB64060055,273412,5794829
2025-02-25,匯出-祥包材有限公司,94364691,AP53898043,-100146,5694683
2025-02-25,匯出-永包材有限公司,22378990,AP83874855,-161853,5532830
2025-03-05,固定營運支出(人事/房租/水電),,,-382500,5150330
2025-03-08,匯出-祥包材有限公司,94364691,AP90081844,-356522,4793808
2025-03-13,匯出-鴻五金有限公司,11467302,AP12998454,-220672,4573136
2025-03-13,匯出-隆模具有限公司,89262240,AP22206473,-153462,4419674
2025-03-18,匯入-祥昇機電股份有限公司,85793832,AB37416150,645042,5064716
2025-03-19,匯入-晶陽機電股份有限公司,38792170,AB71046573,498615,5563331
2025-04-01,匯出-晶模具有限公司,31527583,AP94258114,-211695,5351636
2025-04-03,匯出-永包材有限公司,22378990,AP80554605,-36275,5315361
2025-04-05,固定營運支出(人事/房租/水電),,,-382500,4932861
2025-04-18,匯入-順澤貿易有限公司,71003302,AB74702822,130178,5063039
2025-04-22,匯出-隆模具有限公司,89262240,AP26657516,-25638,5037401
2025-05-03,匯入-晶陽機電股份有限公司,38792170,AB47996293,226488,5263889
2025-05-03,匯出-晶模具有限公司,31527583,AP59870013,-30380,5233509
2025-05-05,固定營運支出(人事/房租/水電),,,-382500,4851009
2025-05-09,匯入-祥昇機電股份有限公司,85793832,AB61344737,660788,5511797
2025-05-11,匯出-銘原料有限公司,38367914,AP60401749,-115708,5396089
2025-05-12,匯出-永包材有限公司,22378990,AP31111159,-299433,5096656
2025-05-26,匯出-永包材有限公司,22378990,AP55912526,-278192,4818464
2025-05-30,匯入-晶陽機電股份有限公司,38792170,AB27976078,206888,5025352
2025-06-05,固定營運支出(人事/房租/水電),,,-382500,4642852
2025-06-06,匯入-晶陽機電股份有限公司,38792170,AB64754907,327701,4970553
2025-06-14,匯入-晶陽機電股份有限公司,38792170,AB80687565,697197,5667750
2025-06-14,匯入-祥昇機電股份有限公司,85793832,AB80244115,133279,5801029
2025-06-17,匯出-永包材有限公司,22378990,AP17748063,-23635,5777394
2025-06-29,匯出-銘原料有限公司,38367914,AP11405415,-188554,5588840
2025-07-05,固定營運支出(人事/房租/水電),,,-382500,5206340
2025-07-06,匯入-晶陽機電股份有限公司,38792170,AB15741030,906720,6113060
2025-07-12,匯入-晶宇機械股份有限公司,55145064,AB28907858,313888,6426948
2025-07-14,匯出-永包材有限公司,22378990,AP30872911,-58635,6368313
2025-07-16,匯出-隆模具有限公司,89262240,AP91029790,-138019,6230294
2025-07-19,匯出-隆模具有限公司,89262240,AP58227139,-51838,6178456
2025-07-24,匯入-晶陽機電股份有限公司,38792170,AB25447556,932218,7110674
2025-07-24,匯出-永包材有限公司,22378990,AP79278631,-104182,7006492
2025-07-26,匯出-祥包材有限公司,94364691,AP34678260,-290354,6716138
2025-07-28,匯出-鴻五金有限公司,11467302,AP17946631,-175428,6540710
2025-08-05,固定營運支出(人事/房租/水電),,,-382500,6158210
2025-08-17,匯入-隆昇企業股份有限公司,64611132,AB40025173,133428,6291638
2025-09-05,固定營運支出(人事/房租/水電),,,-382500,5909138
2025-09-12,匯出-祥包材有限公司,94364691,AP76258186,-176224,5732914
2025-09-18,匯出-祥包材有限公司,94364691,AP19978638,-261835,5471079
2025-09-19,匯入-泰昇貿易企業社,14940320,AB73522357,146005,5617084
2025-09-19,匯出-晶模具有限公司,31527583,AP38270633,-217622,5399462
2025-09-22,匯入-祥昇機電股份有限公司,85793832,AB47515970,336849,5736311
2025-10-03,匯入-晶陽機電股份有限公司,38792170,AB79849985,646700,6383011
2025-10-05,固定營運支出(人事/房租/水電),,,-382500,6000511
2025-10-10,匯入-晶陽機電股份有限公司,38792170,AB28857617,808431,6808942
2025-10-13,匯入-晶陽機電股份有限公司,38792170,AB69315173,779151,7588093
2025-10-13,匯入-鴻昇機械有限公司,77929081,AB37949442,723490,8311583
2025-10-25,匯入-銘麒工業社有限公司,82837832,AB70465481,195531,8507114
2025-11-03,匯入-晶陽機電股份有限公司,38792170,AB93183629,321658,8828772
2025-11-05,固定營運支出(人事/房租/水電),,,-382500,8446272
2025-11-08,匯出-晶模具有限公司,31527583,AP51000115,-48934,8397338
2025-11-10,匯出-永包材有限公司,22378990,AP30224613,-117661,8279677
2025-11-15,匯入-晶宇機械股份有限公司,55145064,AB54279865,258922,8538599
2025-12-01,匯出-晶模具有限公司,31527583,AP73787819,-30971,8507628
2025-12-04,匯出-隆模具有限公司,89262240,AP38610475,-341616,8166012
2025-12-05,固定營運支出(人事/房租/水電),,,-382500,7783512
2025-12-08,匯入-祥昇機電股份有限公司,85793832,AB81238241,589274,8372786
2025-12-11,匯入-晶陽機電股份有限公司,38792170,AB51928887,710716,9083502
2025-12-21,匯出-隆模具有限公司,89262240,AP80310782,-267457,8816045
2025-12-22,匯入-晶陽機電股份有限公司,38792170,AB85546688,846874,9662919
2025-12-23,匯入-順澤貿易有限公司,71003302,AB64458240,328102,9991021
2026-01-02,匯入-泰昇貿易企業社,14940320,AB64245353,660487,10651508
2026-01-05,固定營運支出(人事/房租/水電),,,-382500,10269008
2026-01-06,匯入-晶陽機電股份有限公司,38792170,AB62135041,540795,10809803
2026-01-07,匯入-泰昇貿易企業社,14940320,AB97419034,411941,11221744
2026-01-09,匯入-晶陽機電股份有限公司,38792170,AB90671697,720286,11942030
2026-01-18,匯入-順澤貿易有限公司,71003302,AB72092104,698772,12640802
2026-01-19,匯入-隆昇企業股份有限公司,64611132,AB22980727,137944,12778746
2026-01-26,匯出-鴻五金有限公司,11467302,AP61329972,-253624,12525122
2026-02-05,固定營運支出(人事/房租/水電),,,-382500,12142622
2026-02-10,匯出-鴻五金有限公司,11467302,AP11247236,-296968,11845654
2026-02-15,匯入-隆昇企業股份有限公司,64611132,AB92030063,649193,12494847
2026-02-16,匯入-晶宇機械股份有限公司,55145064,AB11950523,683164,13178011
2026-02-17,匯入-晶宇機械股份有限公司,55145064,AB39298994,83780,13261791
2026-02-18,匯出-永包材有限公司,22378990,AP62933133,-188494,13073297
2026-02-23,匯入-祥昇機電股份有限公司,85793832,AB38617735,759636,13832933
2026-03-05,固定營運支出(人事/房租/水電),,,-382500,13450433
2026-03-06,匯入-晶陽機電股份有限公司,38792170,AB77504598,177869,13628302
2026-03-06,匯出-永包材有限公司,22378990,AP16206319,-56814,13571488
2026-03-06,匯出-鴻五金有限公司,11467302,AP47723492,-108431,13463057
2026-03-08,匯出-永包材有限公司,22378990,AP62640216,-187105,13275952
2026-03-14,匯出-鴻五金有限公司,11467302,AP17776242,-159464,13116488
2026-03-16,匯入-晶陽機電股份有限公司,38792170,AB56103373,751264,13867752
2026-03-16,匯入-祥昇機電股份有限公司,85793832,AB67724528,442883,14310635
2026-03-16,匯出-晶模具有限公司,31527583,AP39662821,-57501,14253134
2026-03-25,匯出-隆模具有限公司,89262240,AP99542929,-195384,14057750
2026-03-26,匯出-鴻五金有限公司,11467302,AP72902980,-75771,13981979
2026-03-29,匯入-順澤貿易有限公司,71003302,AB14855327,838805,14820784
2026-03-30,匯入-隆昇企業股份有限公司,64611132,AB69077708,798856,15619640
2026-04-02,匯出-晶模具有限公司,31527583,AP82552930,-206915,15412725
2026-04-05,固定營運支出(人事/房租/水電),,,-382500,15030225
2026-04-06,匯入-泰昇貿易企業社,14940320,AB78158369,841853,15872078
2026-04-14,匯入-晶宇機械股份有限公司,55145064,AB32058724,982669,16854747
2026-04-15,匯入-晶陽機電股份有限公司,38792170,AB95888049,773705,17628452
2026-04-25,匯入-鴻昇機械有限公司,77929081,AB77464594,1002426,18630878
2026-04-25,匯出-隆模具有限公司,89262240,AP50747712,-303915,18326963
2026-04-27,匯出-銘原料有限公司,38367914,AP73339019,-125389,18201574
2026-04-30,匯出-銘原料有限公司,38367914,AP22044652,-198951,18002623
2026-05-04,匯入-晶陽機電股份有限公司,38792170,AB88738113,725996,18728619
2026-05-05,固定營運支出(人事/房租/水電),,,-382500,18346119
2026-05-06,匯入-永驊機械股份有限公司,91453842,AB81548743,328692,18674811
2026-05-09,匯入-鴻昇機械有限公司,77929081,AB91720732,86064,18760875
2026-05-09,匯入-晶陽機電股份有限公司,38792170,AB46636394,629674,19390549
2026-05-10,匯入-祥昇機電股份有限公司,85793832,AB29670255,757105,20147654
2026-05-11,匯入-鴻昇機械有限公司,77929081,AB38171300,521239,20668893
