date,description,counterparty_ban,reference,amount,balance
2024-08-05,固定營運支出(人事/房租/水電),,,-238500,611500
2024-09-05,固定營運支出(人事/房租/水電),,,-238500,373000
2024-09-14,匯出-皓零件有限公司,90184514,AP16582607,-213376,159624
2024-09-27,匯出-永模具股份有限公司,40391170,AP71753160,-74007,85617
2024-09-28,匯出-泰包材股份有限公司,98095700,AP81481992,-21465,64152
2024-10-01,匯入-鴻麒精密工業有限公司,28495931,AB40728046,40518,104670
2024-10-01,匯出-永模具股份有限公司,40391170,AP91883846,-971370,-866700
2024-10-05,匯出-永模具股份有限公司,40391170,AP60310319,-27915,-894615
2024-10-05,固定營運支出(人事/房租/水電),,,-238500,-1133115
2024-10-08,匯入-銘毅機械有限公司,96379403,AB61053877,4710180,3577065
2024-10-10,匯出-永模具股份有限公司,40391170,AP49609054,-186193,3390872
2024-10-17,匯出-泰五金有限公司,44657871,AP89034501,-4371,3386501
2024-10-18,匯入-銘毅機械有限公司,96379403,AB25228493,23652,3410153
2024-10-19,匯出-永模具股份有限公司,40391170,AP52018286,-19027,3391126
2024-11-04,匯入-銘毅機械有限公司,96379403,AB64266464,306495,3697621
2024-11-05,固定營運支出(人事/房租/水電),,,-238500,3459121
2024-11-13,匯出-泰包材股份有限公司,98095700,AP18530615,-3546,3455575
2024-12-01,匯出-群模具股份有限公司,88248962,AP28419343,-1114,3454461
2024-12-05,固定營運支出(人事/房租/水電),,,-238500,3215961
2024-12-12,匯出-泰五金有限公司,44657871,AP61003997,-2294139,921822
2024-12-12,匯出-永模具股份有限公司,40391170,AP30486849,-5483,916339
2024-12-14,匯入-鴻澤工業有限公司,21615593,AB42117961,3121941,4038280
2024-12-14,匯出-皓零件有限公司,90184514,AP59796322,-15149,4023131
2024-12-15,匯出-群模具股份有限公司,88248962,AP40532691,-33701,3989430
2024-12-18,匯入-銘毅機械有限公司,96379403,AB62401521,4410,3993840
2024-12-22,匯出-泰五金有限公司,44657871,AP23489853,-3568,3990272
2024-12-24,匯出-永模具股份有限公司,40391170,AP49625201,-21540,3968732
2024-12-27,匯入-銘毅機械有限公司,96379403,AB85563727,28420,3997152
2024-12-28,匯出-泰五金有限公司,44657871,AP18050510,-46429,3950723
2025-01-04,匯入-德宇機械股份有限公司,13056414,AB23209423,7519307,11470030
2025-01-05,固定營運支出(人事/房租/水電),,,-238500,11231530
2025-01-09,匯出-泰五金有限公司,44657871,AP47388792,-23167,11208363
2025-01-12,匯入-銓麒自動化科技股份有限公司,29283272,AB73174945,3866,11212229
2025-01-13,匯入-鴻澤工業有限公司,21615593,AB19121552,66978,11279207
2025-02-05,固定營運支出(人事/房租/水電),,,-238500,11040707
2025-02-08,匯入-鴻麒精密工業有限公司,28495931,AB84252420,464645,11505352
2025-02-08,匯出-泰五金有限公司,44657871,AP51464269,-985167,10520185
2025-02-12,匯出-泰五金有限公司,44657871,AP63339667,-31986,10488199
2025-02-27,匯入-德宇機械股份有限公司,13056414,AB83863413,889263,11377462
