年度,縣市別,行業別,統計項目,單位,中小企業(家),大企業(家)
2015,高雄市,用水供應及污染整治業,家數,家,1139,50
2015,基隆市,用水供應及污染整治業,家數,家,121, 
2015,宜蘭縣,用水供應及污染整治業,家數,家,112, 
2015,新竹市,用水供應及污染整治業,家數,家,145,6
2015,新竹縣,用水供應及污染整治業,家數,家,139,10
2015,苗栗縣,用水供應及污染整治業,家數,家,211, 
2015,彰化縣,用水供應及污染整治業,家數,家,412,14
2015,南投縣,用水供應及污染整治業,家數,家,135, 
2015,雲林縣,用水供應及污染整治業,家數,家,258,8
2015,嘉義市,用水供應及污染整治業,家數,家,61, 
2015,嘉義縣,用水供應及污染整治業,家數,家,178,7
2015,屏東縣,用水供應及污染整治業,家數,家,326,12
2015,澎湖縣,用水供應及污染整治業,家數,家,18,0
2015,花蓮縣,用水供應及污染整治業,家數,家,109, 
2015,臺東縣,用水供應及污染整治業,家數,家,68, 
2015,金門縣,用水供應及污染整治業,家數,家,22,0
2015,連江縣,用水供應及污染整治業,家數,家,7,0
2015,總計,營造業,家數,家,117000,1230
2015,臺北市,營造業,家數,家,11122,464
2015,新北市,營造業,家數,家,22678,198
2015,桃園縣,營造業,家數,家,10879,79
2015,臺中市,營造業,家數,家,14981,147
2015,臺南市,營造業,家數,家,7290,53
2015,高雄市,營造業,家數,家,14386,132
2015,基隆市,營造業,家數,家,2091, 
2015,宜蘭縣,營造業,家數,家,3195,22
2015,新竹市,營造業,家數,家,2363,26
2015,新竹縣,營造業,家數,家,3149,26
2015,苗栗縣,營造業,家數,家,3139,12
2015,彰化縣,營造業,家數,家,4830,12
2015,南投縣,營造業,家數,家,2385, 
2015,雲林縣,營造業,家數,家,3424,14
2015,嘉義市,營造業,家數,家,1152,8
2015,嘉義縣,營造業,家數,家,2198, 
2015,屏東縣,營造業,家數,家,3384,11
2015,澎湖縣,營造業,家數,家,444, 
2015,花蓮縣,營造業,家數,家,2097,6
2015,臺東縣,營造業,家數,家,919, 
2015,金門縣,營造業,家數,家,784, 
2015,連江縣,營造業,家數,家,110, 
2015,總計,批發及零售業,家數,家,676791,17266
2015,臺北市,批發及零售業,家數,家,117038,5538
2015,新北市,批發及零售業,家數,家,101444,2869
2015,桃園縣,批發及零售業,家數,家,53083,1268
2015,臺中市,批發及零售業,家數,家,84109,2031
2015,臺南市,批發及零售業,家數,家,52393,1024
2015,高雄市,批發及零售業,家數,家,79247,1882
2015,基隆市,批發及零售業,家數,家,8612,69
2015,宜蘭縣,批發及零售業,家數,家,11741,145
2015,新竹市,批發及零售業,家數,家,12070,299
2015,新竹縣,批發及零售業,家數,家,11629,342
2015,苗栗縣,批發及零售業,家數,家,12425,157
2015,彰化縣,批發及零售業,家數,家,31025,545
2015,南投縣,批發及零售業,家數,家,12285,135
2015,雲林縣,批發及零售業,家數,家,16161,221
2015,嘉義市,批發及零售業,家數,家,8770,147
2015,嘉義縣,批發及零售業,家數,家,10028,137
2015,屏東縣,批發及零售業,家數,家,19010,278
2015,澎湖縣,批發及零售業,家數,家,2947,15
2015,花蓮縣,批發及零售業,家數,家,9555,98
2015,臺東縣,批發及零售業,家數,家,6268,47
2015,金門縣,批發及零售業,家數,家,16682,18
2015,連江縣,批發及零售業,家數,家,269, 
2015,總計,運輸及倉儲業,家數,家,30636,1146
2015,臺北市,運輸及倉儲業,家數,家,5187,479
2015,新北市,運輸及倉儲業,家數,家,6498,101
2015,桃園縣,運輸及倉儲業,家數,家,2148,95
2015,臺中市,運輸及倉儲業,家數,家,3052,92
2015,臺南市,運輸及倉儲業,家數,家,1243,36
2015,高雄市,運輸及倉儲業,家數,家,4911,175
2015,基隆市,運輸及倉儲業,家數,家,1222,36
2015,宜蘭縣,運輸及倉儲業,家數,家,741,13
2015,新竹市,運輸及倉儲業,家數,家,295,18
2015,新竹縣,運輸及倉儲業,家數,家,399,11
2015,苗栗縣,運輸及倉儲業,家數,家,426,11
2015,彰化縣,運輸及倉儲業,家數,家,940,20
2015,南投縣,運輸及倉儲業,家數,家,462, 
2015,雲林縣,運輸及倉儲業,家數,家,525,15
2015,嘉義市,運輸及倉儲業,家數,家,322,7
2015,嘉義縣,運輸及倉儲業,家數,家,656, 
2015,屏東縣,運輸及倉儲業,家數,家,551, 
2015,澎湖縣,運輸及倉儲業,家數,家,264, 
2015,花蓮縣,運輸及倉儲業,家數,家,373,9
2015,臺東縣,運輸及倉儲業,家數,家,141, 
2015,金門縣,運輸及倉儲業,家數,家,195,7
2015,連江縣,運輸及倉儲業,家數,家,85, 
2015,總計,住宿及餐飲業,家數,家,143177,515
2015,臺北市,住宿及餐飲業,家數,家,20948,222
2015,新北市,住宿及餐飲業,家數,家,16130,43
2015,桃園縣,住宿及餐飲業,家數,家,10477,35
2015,臺中市,住宿及餐飲業,家數,家,16984,59
2015,臺南市,住宿及餐飲業,家數,家,14461,19
2015,高雄市,住宿及餐飲業,家數,家,18089,40
2015,基隆市,住宿及餐飲業,家數,家,2722, 
2015,宜蘭縣,住宿及餐飲業,家數,家,3416,12
2015,新竹市,住宿及餐飲業,家數,家,3216,12
2015,新竹縣,住宿及餐飲業,家數,家,2928,6
2015,苗栗縣,住宿及餐飲業,家數,家,3053, 
2015,彰化縣,住宿及餐飲業,家數,家,5657,7
2015,南投縣,住宿及餐飲業,家數,家,3352,14
2015,雲林縣,住宿及餐飲業,家數,家,2733, 
2015,嘉義市,住宿及餐飲業,家數,家,2541, 
2015,嘉義縣,住宿及餐飲業,家數,家,2168, 
2015,屏東縣,住宿及餐飲業,家數,家,6067,12
2015,澎湖縣,住宿及餐飲業,家數,家,1044, 
2015,花蓮縣,住宿及餐飲業,家數,家,3604,10
2015,臺東縣,住宿及餐飲業,家數,家,2683,9
2015,金門縣,住宿及餐飲業,家數,家,670, 
2015,連江縣,住宿及餐飲業,家數,家,234,0
2015,總計,資訊及通訊傳播業,家數,家,18937,757
2015,臺北市,資訊及通訊傳播業,家數,家,8294,475
2015,新北市,資訊及通訊傳播業,家數,家,3263,104
2015,桃園縣,資訊及通訊傳播業,家數,家,1038,22
2015,臺中市,資訊及通訊傳播業,家數,家,2015,41
2015,臺南市,資訊及通訊傳播業,家數,家,769,13
2015,高雄市,資訊及通訊傳播業,家數,家,1329,28
2015,基隆市,資訊及通訊傳播業,家數,家,142, 
2015,宜蘭縣,資訊及通訊傳播業,家數,家,154, 
2015,新竹市,資訊及通訊傳播業,家數,家,352,18
2015,新竹縣,資訊及通訊傳播業,家數,家,276,14
2015,苗栗縣,資訊及通訊傳播業,家數,家,165, 
2015,彰化縣,資訊及通訊傳播業,家數,家,284, 
2015,南投縣,資訊及通訊傳播業,家數,家,146, 
2015,雲林縣,資訊及通訊傳播業,家數,家,119, 
2015,嘉義市,資訊及通訊傳播業,家數,家,114, 
2015,嘉義縣,資訊及通訊傳播業,家數,家,54, 
2015,屏東縣,資訊及通訊傳播業,家數,家,164, 
2015,澎湖縣,資訊及通訊傳播業,家數,家,39, 
2015,花蓮縣,資訊及通訊傳播業,家數,家,113, 
2015,臺東縣,資訊及通訊傳播業,家數,家,55, 
2015,金門縣,資訊及通訊傳播業,家數,家,46, 
2015,連江縣,資訊及通訊傳播業,家數,家,6, 
2015,總計,金融及保險業,家數,家,16107,2543
2015,臺北市,金融及保險業,家數,家,6477,1104
2015,新北市,金融及保險業,家數,家,2092,302
2015,桃園縣,金融及保險業,家數,家,911,174
2015,臺中市,金融及保險業,家數,家,1598,254
2015,臺南市,金融及保險業,家數,家,924,125
2015,高雄市,金融及保險業,家數,家,1528,211
2015,基隆市,金融及保險業,家數,家,138,12
2015,宜蘭縣,金融及保險業,家數,家,125,34
2015,新竹市,金融及保險業,家數,家,308,58
2015,新竹縣,金融及保險業,家數,家,224,29
2015,苗栗縣,金融及保險業,家數,家,138,29
2015,彰化縣,金融及保險業,家數,家,433,59
2015,南投縣,金融及保險業,家數,家,136,22
2015,雲林縣,金融及保險業,家數,家,186,30
2015,嘉義市,金融及保險業,家數,家,224,23
2015,嘉義縣,金融及保險業,家數,家,121,18
2015,屏東縣,金融及保險業,家數,家,248,30
2015,澎湖縣,金融及保險業,家數,家,31, 
2015,花蓮縣,金融及保險業,家數,家,134,19
2015,臺東縣,金融及保險業,家數,家,96,6
2015,金門縣,金融及保險業,家數,家,32, 
2015,連江縣,金融及保險業,家數,家,,0
2015,總計,不動產業,家數,家,34614,1500
2015,臺北市,不動產業,家數,家,8020,497
2015,新北市,不動產業,家數,家,5211,239
2015,桃園縣,不動產業,家數,家,3089,133
2015,臺中市,不動產業,家數,家,4974,246
2015,臺南市,不動產業,家數,家,2253,76
2015,高雄市,不動產業,家數,家,3141,130
2015,基隆市,不動產業,家數,家,276, 
2015,宜蘭縣,不動產業,家數,家,850,10
2015,新竹市,不動產業,家數,家,887,34
2015,新竹縣,不動產業,家數,家,926,43
2015,苗栗縣,不動產業,家數,家,642,8
2015,彰化縣,不動產業,家數,家,1062,17
2015,南投縣,不動產業,家數,家,407, 
2015,雲林縣,不動產業,家數,家,477,20
2015,嘉義市,不動產業,家數,家,513,8
2015,嘉義縣,不動產業,家數,家,229, 
2015,屏東縣,不動產業,家數,家,567,7
2015,澎湖縣,不動產業,家數,家,148,0
2015,花蓮縣,不動產業,家數,家,498,10
2015,臺東縣,不動產業,家數,家,234,6
2015,金門縣,不動產業,家數,家,207, 
2015,連江縣,不動產業,家數,家,,0
2015,總計,專業、科學及技術服務業,家數,家,44796,749
2015,臺北市,專業、科學及技術服務業,家數,家,15277,468
2015,新北市,專業、科學及技術服務業,家數,家,7215,98
2015,桃園縣,專業、科學及技術服務業,家數,家,2987,30
2015,臺中市,專業、科學及技術服務業,家數,家,5906,42
2015,臺南市,專業、科學及技術服務業,家數,家,2587,11
2015,高雄市,專業、科學及技術服務業,家數,家,3937,24
2015,基隆市,專業、科學及技術服務業,家數,家,399, 
2015,宜蘭縣,專業、科學及技術服務業,家數,家,567, 
2015,新竹市,專業、科學及技術服務業,家數,家,837,31
2015,新竹縣,專業、科學及技術服務業,家數,家,721,27
2015,苗栗縣,專業、科學及技術服務業,家數,家,432, 
2015,彰化縣,專業、科學及技術服務業,家數,家,1036, 
2015,南投縣,專業、科學及技術服務業,家數,家,435, 
2015,雲林縣,專業、科學及技術服務業,家數,家,466, 
2015,嘉義市,專業、科學及技術服務業,家數,家,417, 
2015,嘉義縣,專業、科學及技術服務業,家數,家,244, 
2015,屏東縣,專業、科學及技術服務業,家數,家,583, 
2015,澎湖縣,專業、科學及技術服務業,家數,家,50,0
2015,花蓮縣,專業、科學及技術服務業,家數,家,350, 
2015,臺東縣,專業、科學及技術服務業,家數,家,206,0
2015,金門縣,專業、科學及技術服務業,家數,家,119,0
2015,連江縣,專業、科學及技術服務業,家數,家,25,0
2015,總計,支援服務業,家數,家,29184,508
2015,臺北市,支援服務業,家數,家,4992,231
2015,新北市,支援服務業,家數,家,4013,58
2015,桃園縣,支援服務業,家數,家,2818,32
2015,臺中市,支援服務業,家數,家,3836,49
2015,臺南市,支援服務業,家數,家,2014,21
2015,高雄市,支援服務業,家數,家,3520,60
2015,基隆市,支援服務業,家數,家,431, 
2015,宜蘭縣,支援服務業,家數,家,555, 
2015,新竹市,支援服務業,家數,家,665,16
2015,新竹縣,支援服務業,家數,家,516,10
2015,苗栗縣,支援服務業,家數,家,594, 
2015,彰化縣,支援服務業,家數,家,932,8
2015,南投縣,支援服務業,家數,家,498, 
2015,雲林縣,支援服務業,家數,家,444, 
2015,嘉義市,支援服務業,家數,家,416, 
2015,嘉義縣,支援服務業,家數,家,463, 
2015,屏東縣,支援服務業,家數,家,847, 
2015,澎湖縣,支援服務業,家數,家,435,0
2015,花蓮縣,支援服務業,家數,家,543, 
2015,臺東縣,支援服務業,家數,家,398,0
2015,金門縣,支援服務業,家數,家,206,0
2015,連江縣,支援服務業,家數,家,48,0
2015,總計,教育服務業,家數,家,2098,14
2015,臺北市,教育服務業,家數,家,684,9
2015,新北市,教育服務業,家數,家,238,0
2015,桃園縣,教育服務業,家數,家,126, 
2015,臺中市,教育服務業,家數,家,296, 
2015,臺南市,教育服務業,家數,家,132,0
2015,高雄市,教育服務業,家數,家,253, 
2015,基隆市,教育服務業,家數,家,10,0
2015,宜蘭縣,教育服務業,家數,家,27,0
2015,新竹市,教育服務業,家數,家,75,0
2015,新竹縣,教育服務業,家數,家,35,0
2015,苗栗縣,教育服務業,家數,家,19,0
2015,彰化縣,教育服務業,家數,家,40,0
2015,南投縣,教育服務業,家數,家,24,0
2015,雲林縣,教育服務業,家數,家,22,0
2015,嘉義市,教育服務業,家數,家,24,0
2015,嘉義縣,教育服務業,家數,家,9,0
2015,屏東縣,教育服務業,家數,家,27,0
2015,澎湖縣,教育服務業,家數,家,12,0
2015,花蓮縣,教育服務業,家數,家,23,0
2015,臺東縣,教育服務業,家數,家,12,0
2015,金門縣,教育服務業,家數,家,8,0
2015,連江縣,教育服務業,家數,家,,0
2015,總計,醫療保健及社會工作服務業,家數,家,731,14
2015,臺北市,醫療保健及社會工作服務業,家數,家,145,8
2015,新北市,醫療保健及社會工作服務業,家數,家,58, 
2015,桃園縣,醫療保健及社會工作服務業,家數,家,37, 
2015,臺中市,醫療保健及社會工作服務業,家數,家,88, 
2015,臺南市,醫療保健及社會工作服務業,家數,家,63,0
2015,高雄市,醫療保健及社會工作服務業,家數,家,124, 
2015,基隆市,醫療保健及社會工作服務業,家數,家,11,0
2015,宜蘭縣,醫療保健及社會工作服務業,家數,家,39,0
2015,新竹市,醫療保健及社會工作服務業,家數,家,14,0
2015,新竹縣,醫療保健及社會工作服務業,家數,家,12,0
2015,苗栗縣,醫療保健及社會工作服務業,家數,家,8,0
2015,彰化縣,醫療保健及社會工作服務業,家數,家,28,0
2015,南投縣,醫療保健及社會工作服務業,家數,家,13,0
2015,雲林縣,醫療保健及社會工作服務業,家數,家,11,0
2015,嘉義市,醫療保健及社會工作服務業,家數,家,9,0
2015,嘉義縣,醫療保健及社會工作服務業,家數,家,,0
2015,屏東縣,醫療保健及社會工作服務業,家數,家,39,0
2015,澎湖縣,醫療保健及社會工作服務業,家數,家,,0
2015,花蓮縣,醫療保健及社會工作服務業,家數,家,17,0
2015,臺東縣,醫療保健及社會工作服務業,家數,家,11,0
2015,金門縣,醫療保健及社會工作服務業,家數,家,,0
2015,連江縣,醫療保健及社會工作服務業,家數,家,0,0
2015,總計,藝術、娛樂及休閒服務業,家數,家,25304,121
2015,臺北市,藝術、娛樂及休閒服務業,家數,家,3837,43
2015,新北市,藝術、娛樂及休閒服務業,家數,家,3527,18
2015,桃園縣,藝術、娛樂及休閒服務業,家數,家,2025,12
2015,臺中市,藝術、娛樂及休閒服務業,家數,家,2538,10
2015,臺南市,藝術、娛樂及休閒服務業,家數,家,1927, 
2015,高雄市,藝術、娛樂及休閒服務業,家數,家,2804,10
2015,基隆市,藝術、娛樂及休閒服務業,家數,家,410, 
2015,宜蘭縣,藝術、娛樂及休閒服務業,家數,家,551, 
2015,新竹市,藝術、娛樂及休閒服務業,家數,家,496, 
2015,新竹縣,藝術、娛樂及休閒服務業,家數,家,562, 
2015,苗栗縣,藝術、娛樂及休閒服務業,家數,家,623, 
2015,彰化縣,藝術、娛樂及休閒服務業,家數,家,1215, 
2015,南投縣,藝術、娛樂及休閒服務業,家數,家,783, 
2015,雲林縣,藝術、娛樂及休閒服務業,家數,家,700, 
2015,嘉義市,藝術、娛樂及休閒服務業,家數,家,357,0
2015,嘉義縣,藝術、娛樂及休閒服務業,家數,家,445, 
2015,屏東縣,藝術、娛樂及休閒服務業,家數,家,1184, 
2015,澎湖縣,藝術、娛樂及休閒服務業,家數,家,130,0
2015,花蓮縣,藝術、娛樂及休閒服務業,家數,家,507, 
2015,臺東縣,藝術、娛樂及休閒服務業,家數,家,503,0
2015,金門縣,藝術、娛樂及休閒服務業,家數,家,132,0
2015,連江縣,藝術、娛樂及休閒服務業,家數,家,0,0
2015,總計,其他服務業,家數,家,80883,194
2015,臺北市,其他服務業,家數,家,9563,66
2015,新北市,其他服務業,家數,家,9211,29
2015,桃園縣,其他服務業,家數,家,6358,17
2015,臺中市,其他服務業,家數,家,10357,23
2015,臺南市,其他服務業,家數,家,8148, 
2015,高雄市,其他服務業,家數,家,11117,21
2015,基隆市,其他服務業,家數,家,1514, 
2015,宜蘭縣,其他服務業,家數,家,1739, 
2015,新竹市,其他服務業,家數,家,1767, 
2015,新竹縣,其他服務業,家數,家,1759, 
2015,苗栗縣,其他服務業,家數,家,1936, 
2015,彰化縣,其他服務業,家數,家,4738, 
2015,南投縣,其他服務業,家數,家,1647, 
2015,雲林縣,其他服務業,家數,家,2064, 
2015,嘉義市,其他服務業,家數,家,1584, 
2015,嘉義縣,其他服務業,家數,家,1425, 
2015,屏東縣,其他服務業,家數,家,3251, 
2015,澎湖縣,其他服務業,家數,家,314,0
2015,花蓮縣,其他服務業,家數,家,1278,0
2015,臺東縣,其他服務業,家數,家,809, 
2015,金門縣,其他服務業,家數,家,259,0
2015,連江縣,其他服務業,家數,家,0,0
2016,總計,農林漁牧業,家數,家,11380,66
2016,臺北市,農林漁牧業,家數,家,464,16
2016,新北市,農林漁牧業,家數,家,810, 
2016,桃園縣,農林漁牧業,家數,家,693, 
2016,臺中市,農林漁牧業,家數,家,501, 
2016,臺南市,農林漁牧業,家數,家,377,6
2016,高雄市,農林漁牧業,家數,家,3365,8
2016,基隆市,農林漁牧業,家數,家,31,0
2016,宜蘭縣,農林漁牧業,家數,家,1271,0
2016,新竹市,農林漁牧業,家數,家,203, 
2016,新竹縣,農林漁牧業,家數,家,209, 
2016,苗栗縣,農林漁牧業,家數,家,212, 
2016,彰化縣,農林漁牧業,家數,家,726,6
2016,南投縣,農林漁牧業,家數,家,448, 
2016,雲林縣,農林漁牧業,家數,家,401, 
2016,嘉義市,農林漁牧業,家數,家,56,0
2016,嘉義縣,農林漁牧業,家數,家,348, 
2016,屏東縣,農林漁牧業,家數,家,626,8
2016,澎湖縣,農林漁牧業,家數,家,33,0
2016,花蓮縣,農林漁牧業,家數,家,274,0
2016,臺東縣,農林漁牧業,家數,家,293, 
2016,金門縣,農林漁牧業,家數,家,34,0
2016,連江縣,農林漁牧業,家數,家,,0
2016,總計,礦業及土石採取業,家數,家,1103,31
2016,臺北市,礦業及土石採取業,家數,家,70,10
2016,新北市,礦業及土石採取業,家數,家,103, 
2016,桃園縣,礦業及土石採取業,家數,家,61, 
2016,臺中市,礦業及土石採取業,家數,家,85, 
2016,臺南市,礦業及土石採取業,家數,家,37,0
2016,高雄市,礦業及土石採取業,家數,家,114, 
2016,基隆市,礦業及土石採取業,家數,家,,0
2016,宜蘭縣,礦業及土石採取業,家數,家,106,0
2016,新竹市,礦業及土石採取業,家數,家,19,0
2016,新竹縣,礦業及土石採取業,家數,家,35, 
2016,苗栗縣,礦業及土石採取業,家數,家,71, 
2016,彰化縣,礦業及土石採取業,家數,家,24,0
2016,南投縣,礦業及土石採取業,家數,家,48, 
2016,雲林縣,礦業及土石採取業,家數,家,36,0
2016,嘉義市,礦業及土石採取業,家數,家,6,0
2016,嘉義縣,礦業及土石採取業,家數,家,15,0
2016,屏東縣,礦業及土石採取業,家數,家,40,0
2016,澎湖縣,礦業及土石採取業,家數,家,7,0
2016,花蓮縣,礦業及土石採取業,家數,家,156, 
2016,臺東縣,礦業及土石採取業,家數,家,59,0
2016,金門縣,礦業及土石採取業,家數,家,6, 
2016,連江縣,礦業及土石採取業,家數,家,0,0
2016,總計,製造業,家數,家,143184,5787
2016,臺北市,製造業,家數,家,7543,884
2016,新北市,製造業,家數,家,33167,1002
2016,桃園縣,製造業,家數,家,11898,833
2016,臺中市,製造業,家數,家,30036,693
2016,臺南市,製造業,家數,家,12780,499
2016,高雄市,製造業,家數,家,9864,505
2016,基隆市,製造業,家數,家,719,17
2016,宜蘭縣,製造業,家數,家,2316,58
2016,新竹市,製造業,家數,家,2310,231
2016,新竹縣,製造業,家數,家,2699,337
2016,苗栗縣,製造業,家數,家,2629,140
2016,彰化縣,製造業,家數,家,17394,294
2016,南投縣,製造業,家數,家,1757,72
2016,雲林縣,製造業,家數,家,2263,63
2016,嘉義市,製造業,家數,家,806,7
2016,嘉義縣,製造業,家數,家,1937,60
2016,屏東縣,製造業,家數,家,1591,80
2016,澎湖縣,製造業,家數,家,226,0
2016,花蓮縣,製造業,家數,家,692,9
2016,臺東縣,製造業,家數,家,347, 
2016,金門縣,製造業,家數,家,185, 
2016,連江縣,製造業,家數,家,25, 
2016,總計,電力及燃氣供應業,家數,家,839,134
2016,臺北市,電力及燃氣供應業,家數,家,106,23
2016,新北市,電力及燃氣供應業,家數,家,73,15
2016,桃園縣,電力及燃氣供應業,家數,家,49,10
2016,臺中市,電力及燃氣供應業,家數,家,85,18
2016,臺南市,電力及燃氣供應業,家數,家,76,9
2016,高雄市,電力及燃氣供應業,家數,家,70,11
2016,基隆市,電力及燃氣供應業,家數,家,, 
2016,宜蘭縣,電力及燃氣供應業,家數,家,9,0
2016,新竹市,電力及燃氣供應業,家數,家,18, 
2016,新竹縣,電力及燃氣供應業,家數,家,22, 
2016,苗栗縣,電力及燃氣供應業,家數,家,22, 
2016,彰化縣,電力及燃氣供應業,家數,家,85,6
2016,南投縣,電力及燃氣供應業,家數,家,8, 
2016,雲林縣,電力及燃氣供應業,家數,家,71, 
2016,嘉義市,電力及燃氣供應業,家數,家,18, 
2016,嘉義縣,電力及燃氣供應業,家數,家,55, 
2016,屏東縣,電力及燃氣供應業,家數,家,46, 
2016,澎湖縣,電力及燃氣供應業,家數,家,, 
2016,花蓮縣,電力及燃氣供應業,家數,家,8, 
2016,臺東縣,電力及燃氣供應業,家數,家,8, 
2016,金門縣,電力及燃氣供應業,家數,家,, 
2016,連江縣,電力及燃氣供應業,家數,家,0, 
2016,總計,用水供應及污染整治業,家數,家,7250,295
2016,臺北市,用水供應及污染整治業,家數,家,576,35
2016,新北市,用水供應及污染整治業,家數,家,915,26
2016,桃園縣,用水供應及污染整治業,家數,家,766,51
2016,臺中市,用水供應及污染整治業,家數,家,901,34
2016,臺南市,用水供應及污染整治業,家數,家,591,21
2016,高雄市,用水供應及污染整治業,家數,家,1177,54
2016,基隆市,用水供應及污染整治業,家數,家,130, 
2016,宜蘭縣,用水供應及污染整治業,家數,家,120, 
2016,新竹市,用水供應及污染整治業,家數,家,133,8
2016,新竹縣,用水供應及污染整治業,家數,家,137,9
2016,苗栗縣,用水供應及污染整治業,家數,家,214, 
2016,彰化縣,用水供應及污染整治業,家數,家,415,13
2016,南投縣,用水供應及污染整治業,家數,家,130, 
2016,雲林縣,用水供應及污染整治業,家數,家,256,8
2016,嘉義市,用水供應及污染整治業,家數,家,63, 
2016,嘉義縣,用水供應及污染整治業,家數,家,172,7
2016,屏東縣,用水供應及污染整治業,家數,家,326,13
2016,澎湖縣,用水供應及污染整治業,家數,家,18,0
2016,花蓮縣,用水供應及污染整治業,家數,家,113, 
2016,臺東縣,用水供應及污染整治業,家數,家,66, 
2016,金門縣,用水供應及污染整治業,家數,家,24,0
2016,連江縣,用水供應及污染整治業,家數,家,7,0
2016,總計,營建工程業,家數,家,120828,1216
2016,臺北市,營建工程業,家數,家,11425,457
2016,新北市,營建工程業,家數,家,23299,190
2016,桃園縣,營建工程業,家數,家,11433,87
2016,臺中市,營建工程業,家數,家,15599,142
2016,臺南市,營建工程業,家數,家,7688,48
2016,高雄市,營建工程業,家數,家,14828,135
2016,基隆市,營建工程業,家數,家,2134, 
2016,宜蘭縣,營建工程業,家數,家,3294,23
2016,新竹市,營建工程業,家數,家,2436,27
2016,新竹縣,營建工程業,家數,家,3184,22
2016,苗栗縣,營建工程業,家數,家,3183,13
2016,彰化縣,營建工程業,家數,家,5062,12
2016,南投縣,營建工程業,家數,家,2456, 
2016,雲林縣,營建工程業,家數,家,3396,14
2016,嘉義市,營建工程業,家數,家,1199,8
2016,嘉義縣,營建工程業,家數,家,2254, 
2016,屏東縣,營建工程業,家數,家,3469,11
2016,澎湖縣,營建工程業,家數,家,471, 
2016,花蓮縣,營建工程業,家數,家,2132,6
2016,臺東縣,營建工程業,家數,家,936, 
2016,金門縣,營建工程業,家數,家,832, 
2016,連江縣,營建工程業,家數,家,118, 
2016,總計,批發及零售業,家數,家,682218,17111
2016,臺北市,批發及零售業,家數,家,116631,5405
2016,新北市,批發及零售業,家數,家,103067,2838
2016,桃園縣,批發及零售業,家數,家,54099,1262
2016,臺中市,批發及零售業,家數,家,85778,2035
2016,臺南市,批發及零售業,家數,家,52931,1016
2016,高雄市,批發及零售業,家數,家,79673,1831
2016,基隆市,批發及零售業,家數,家,8619,70
2016,宜蘭縣,批發及零售業,家數,家,11826,153
2016,新竹市,批發及零售業,家數,家,12106,307
2016,新竹縣,批發及零售業,家數,家,11839,351
2016,苗栗縣,批發及零售業,家數,家,12396,160
2016,彰化縣,批發及零售業,家數,家,31060,566
2016,南投縣,批發及零售業,家數,家,12287,133
2016,雲林縣,批發及零售業,家數,家,16281,239
2016,嘉義市,批發及零售業,家數,家,8783,144
2016,嘉義縣,批發及零售業,家數,家,10099,133
2016,屏東縣,批發及零售業,家數,家,19250,285
2016,澎湖縣,批發及零售業,家數,家,2931,14
2016,花蓮縣,批發及零售業,家數,家,9635,102
2016,臺東縣,批發及零售業,家數,家,6259,45
2016,金門縣,批發及零售業,家數,家,16397,21
2016,連江縣,批發及零售業,家數,家,271, 
2016,總計,運輸及倉儲業,家數,家,31266,1105
2016,臺北市,運輸及倉儲業,家數,家,5295,457
2016,新北市,運輸及倉儲業,家數,家,6562,104
2016,桃園縣,運輸及倉儲業,家數,家,2239,93
2016,臺中市,運輸及倉儲業,家數,家,3215,90
2016,臺南市,運輸及倉儲業,家數,家,1281,36
2016,高雄市,運輸及倉儲業,家數,家,4982,164
2016,基隆市,運輸及倉儲業,家數,家,1243,29
2016,宜蘭縣,運輸及倉儲業,家數,家,741,13
2016,新竹市,運輸及倉儲業,家數,家,313,15
2016,新竹縣,運輸及倉儲業,家數,家,398,11
2016,苗栗縣,運輸及倉儲業,家數,家,438,9
2016,彰化縣,運輸及倉儲業,家數,家,970,20
2016,南投縣,運輸及倉儲業,家數,家,463, 
2016,雲林縣,運輸及倉儲業,家數,家,515,16
2016,嘉義市,運輸及倉儲業,家數,家,322,10
2016,嘉義縣,運輸及倉儲業,家數,家,662, 
2016,屏東縣,運輸及倉儲業,家數,家,555, 
2016,澎湖縣,運輸及倉儲業,家數,家,260, 
2016,花蓮縣,運輸及倉儲業,家數,家,391,9
2016,臺東縣,運輸及倉儲業,家數,家,146, 
2016,金門縣,運輸及倉儲業,家數,家,190,7
2016,連江縣,運輸及倉儲業,家數,家,85, 
2016,總計,住宿及餐飲業,家數,家,150893,547
2016,臺北市,住宿及餐飲業,家數,家,21992,241
2016,新北市,住宿及餐飲業,家數,家,17247,44
2016,桃園縣,住宿及餐飲業,家數,家,11069,37
2016,臺中市,住宿及餐飲業,家數,家,18138,66
2016,臺南市,住宿及餐飲業,家數,家,14871,18
2016,高雄市,住宿及餐飲業,家數,家,18984,43
2016,基隆市,住宿及餐飲業,家數,家,2779, 
2016,宜蘭縣,住宿及餐飲業,家數,家,3644,12
2016,新竹市,住宿及餐飲業,家數,家,3281,12
2016,新竹縣,住宿及餐飲業,家數,家,3088,6
2016,苗栗縣,住宿及餐飲業,家數,家,3207, 
2016,彰化縣,住宿及餐飲業,家數,家,5961,7
2016,南投縣,住宿及餐飲業,家數,家,3545,13
2016,雲林縣,住宿及餐飲業,家數,家,2904, 
2016,嘉義市,住宿及餐飲業,家數,家,2664, 
2016,嘉義縣,住宿及餐飲業,家數,家,2286, 
2016,屏東縣,住宿及餐飲業,家數,家,6332,11
2016,澎湖縣,住宿及餐飲業,家數,家,1110, 
